model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,exp_dir
Autoformer,96,ECL,0.0005,32,3,0,10,type1,0.1885109543800354,0.3037818670272827,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ECL_96_1.0_0.0_0.0005_type1_10_3_32
Autoformer,192,ECL,0.0005,32,3,0,10,type1,0.27089378237724304,0.3705076277256012,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ECL_192_1.0_0.0_0.0005_type1_10_3_32
Autoformer,336,ECL,0.0005,32,3,0,10,type1,0.24276207387447357,0.3522816300392151,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ECL_336_1.0_0.0_0.0005_type1_10_3_32
Autoformer,720,ECL,0.0005,32,3,0,10,type1,0.2947840392589569,0.38835379481315613,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ECL_720_1.0_0.0_0.0005_type1_10_3_32
Autoformer,96,ETTh1,0.0005,32,3,0,10,type1,0.44874802231788635,0.4649847447872162,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh1_96_1.0_0.0_0.0005_type1_10_3_32
Autoformer,192,ETTh1,0.0005,32,3,0,10,type1,0.4586491584777832,0.46855679154396057,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh1_192_1.0_0.0_0.0005_type1_10_3_32
Autoformer,336,ETTh1,0.0005,32,3,0,10,type1,0.510600209236145,0.5003090500831604,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh1_336_1.0_0.0_0.0005_type1_10_3_32
Autoformer,720,ETTh1,0.0005,32,3,0,10,type1,0.4881030321121216,0.49754413962364197,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh1_720_1.0_0.0_0.0005_type1_10_3_32
Autoformer,96,ETTh2,0.0005,32,3,0,10,type1,0.35538628697395325,0.3969402313232422,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh2_96_1.0_0.0_0.0005_type1_10_3_32
Autoformer,192,ETTh2,0.0005,32,3,0,10,type1,0.4784029722213745,0.4708784818649292,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh2_192_1.0_0.0_0.0005_type1_10_3_32
Autoformer,336,ETTh2,0.0005,32,3,0,10,type1,0.45866721868515015,0.46948757767677307,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh2_336_1.0_0.0_0.0005_type1_10_3_32
Autoformer,720,ETTh2,0.0005,32,3,0,10,type1,0.4993676543235779,0.5015770196914673,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTh2_720_1.0_0.0_0.0005_type1_10_3_32
Autoformer,96,ETTm1,0.0005,32,3,0,10,type1,0.4853496551513672,0.4684425890445709,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm1_96_1.0_0.0_0.0005_type1_10_3_32
Autoformer,192,ETTm1,0.0005,32,3,0,10,type1,0.5043943524360657,0.48198238015174866,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm1_192_1.0_0.0_0.0005_type1_10_3_32
Autoformer,336,ETTm1,0.0005,32,3,0,10,type1,0.5195745229721069,0.48940378427505493,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm1_336_1.0_0.0_0.0005_type1_10_3_32
Autoformer,720,ETTm1,0.0005,32,3,0,10,type1,0.5941244959831238,0.5234006643295288,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm1_720_1.0_0.0_0.0005_type1_10_3_32
Autoformer,96,ETTm2,0.0005,32,3,0,10,type1,0.21767425537109375,0.30001023411750793,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm2_96_1.0_0.0_0.0005_type1_10_3_32
Autoformer,192,ETTm2,0.0005,32,3,0,10,type1,0.28195714950561523,0.3404097259044647,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm2_192_1.0_0.0_0.0005_type1_10_3_32
Autoformer,336,ETTm2,0.0005,32,3,0,10,type1,0.33549925684928894,0.3703792989253998,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm2_336_1.0_0.0_0.0005_type1_10_3_32
Autoformer,720,ETTm2,0.0005,32,3,0,10,type1,0.42295053601264954,0.419941246509552,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_ETTm2_720_1.0_0.0_0.0005_type1_10_3_32
Autoformer,12,PEMS03,0.0005,32,3,0,10,type1,0.23277483880519867,0.3655664026737213,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS03_12_1.0_0.0_0.0005_type1_10_3_32
Autoformer,24,PEMS03,0.0005,32,3,0,10,type1,0.40524858236312866,0.4849313497543335,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS03_24_1.0_0.0_0.0005_type1_10_3_32
Autoformer,36,PEMS03,0.0005,32,3,0,10,type1,0.32715079188346863,0.41490885615348816,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS03_36_1.0_0.0_0.0005_type1_10_3_32
Autoformer,48,PEMS03,0.0005,32,3,0,10,type1,0.6794482469558716,0.634450376033783,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS03_48_1.0_0.0_0.0005_type1_10_3_32
Autoformer,12,PEMS08,0.0005,32,3,0,10,type1,0.2317313551902771,0.33412280678749084,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_12_1.0_0.0_0.0005_type1_10_3_32
Autoformer,24,PEMS08,0.0005,32,3,0,10,type1,0.5446258783340454,0.5503721833229065,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_24_1.0_0.0_0.0005_type1_10_3_32
Autoformer,36,PEMS08,0.0005,32,3,0,10,type1,0.3786486089229584,0.43633705377578735,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_PEMS08_36_1.0_0.0_0.0005_type1_10_3_32
