model,pred_len,data_id,auxi_mode,mse,mae
Fredformer,96,ETTm1,DF,0.3263689875602722,0.360869437456131
Fredformer,192,ETTm1,DF,0.3651944398880005,0.3821316659450531
Fredformer,336,ETTm1,DF,0.3959866464138031,0.4043689668178558
Fredformer,720,ETTm1,DF,0.4592172801494598,0.4443422257900238
Fredformer,Avg,ETTm1,DF,0.3866918385028839,0.39792807400226593
Fredformer,96,ETTm1,PDF,0.3211379945278168,0.3574359118938446
Fredformer,192,ETTm1,PDF,0.3595805168151855,0.3781188428401947
Fredformer,336,ETTm1,PDF,0.3892384767532348,0.3999874293804168
Fredformer,720,ETTm1,PDF,0.4470203816890716,0.4348906874656677
Fredformer,Avg,ETTm1,PDF,0.37924434244632715,0.392608217895031
Fredformer,96,ETTm1,FreDF,0.32634541392326355,0.35460442304611206
Fredformer,192,ETTm1,FreDF,0.36332499980926514,0.3799927234649658
Fredformer,336,ETTm1,FreDF,0.39205029606819153,0.39972183108329773
Fredformer,720,ETTm1,FreDF,0.4545423090457916,0.4398916959762573
Fredformer,Avg,ETTm1,FreDF,0.38406575471162796,0.39355266839265823
Fredformer,96,ETTm1,Fourier Koopman,0.33529624342918396,0.36795905232429504
Fredformer,192,ETTm1,Fourier Koopman,0.36578452587127686,0.3842400312423706
Fredformer,336,ETTm1,Fourier Koopman,0.3987613916397095,0.4083792567253113
Fredformer,720,ETTm1,Fourier Koopman,0.4560664892196655,0.44115880131721497
Fredformer,Avg,ETTm1,Fourier Koopman,0.38897716253995895,0.400434285402298
Fredformer,96,ETTm1,Dilate,0.33654171228408813,0.36688944697380066
Fredformer,192,ETTm1,Dilate,0.3635519742965698,0.38358476758003235
Fredformer,336,ETTm1,Dilate,0.39710476994514465,0.40578922629356384
Fredformer,720,ETTm1,Dilate,0.45689311623573303,0.44293901324272156
Fredformer,Avg,ETTm1,Dilate,0.3885228931903839,0.3998006135225296
Fredformer,96,ETTm1,Soft-DTW,0.3320269286632538,0.36338120698928833
Fredformer,192,ETTm1,Soft-DTW,0.37016206979751587,0.3859206736087799
Fredformer,336,ETTm1,Soft-DTW,0.4064127206802368,0.4088272750377655
Fredformer,720,ETTm1,Soft-DTW,0.478230357170105,0.4496065378189087
Fredformer,Avg,ETTm1,Soft-DTW,0.39670801907777786,0.4019339233636856
Fredformer,96,ETTm1,DTW,0.33182862401008606,0.3642325699329376
Fredformer,192,ETTm1,DTW,0.3695293962955475,0.3864043951034546
Fredformer,336,ETTm1,DTW,0.4086475968360901,0.4104112982749939
Fredformer,720,ETTm1,DTW,0.4758516252040863,0.44843336939811707
Fredformer,Avg,ETTm1,DTW,0.3964643105864525,0.4023704081773758
Fredformer,96,ETTh1,DF,0.3771934807300567,0.3958878517150879
Fredformer,192,ETTh1,DF,0.4370187819004059,0.42538982629776
Fredformer,336,ETTh1,DF,0.4857693314552307,0.4485799074172973
Fredformer,720,ETTh1,DF,0.487772136926651,0.4673515260219574
Fredformer,Avg,ETTh1,DF,0.4469384327530861,0.43430227786302567
Fredformer,96,ETTh1,PDF,0.3680025041103363,0.3907652497291565
Fredformer,192,ETTh1,PDF,0.4240888655185699,0.4219553470611572
Fredformer,336,ETTh1,PDF,0.4669598639011383,0.4413564503192901
Fredformer,720,ETTh1,PDF,0.4649324715137481,0.4631440937519073
Fredformer,Avg,ETTh1,PDF,0.4309959262609482,0.4293052852153778
Fredformer,96,ETTh1,FreDF,0.36970627307891846,0.3915591835975647
Fredformer,192,ETTh1,FreDF,0.4355933964252472,0.4365418255329132
Fredformer,336,ETTh1,FreDF,0.4729723036289215,0.4428349733352661
Fredformer,720,ETTh1,FreDF,0.4741019010543823,0.46584537625312805
Fredformer,Avg,ETTh1,FreDF,0.43809346854686737,0.434195339679718
Fredformer,96,ETTh1,Fourier Koopman,0.3747584819793701,0.3973237872123718
Fredformer,192,ETTh1,Fourier Koopman,0.4378664791584015,0.4336797893047333
Fredformer,336,ETTh1,Fourier Koopman,0.47303107380867004,0.4554176926612854
Fredformer,720,ETTh1,Fourier Koopman,0.5228999257087708,0.4870637357234955
Fredformer,Avg,ETTh1,Fourier Koopman,0.4521389901638031,0.4433712512254715
Fredformer,96,ETTh1,Dilate,0.3777253329753876,0.3987542986869812
Fredformer,192,ETTh1,Dilate,0.4390365779399872,0.4347802400588989
Fredformer,336,ETTh1,Dilate,0.48058101534843445,0.45251724123954773
Fredformer,720,ETTh1,Dilate,0.5159295797348022,0.4821101725101471
Fredformer,Avg,ETTh1,Dilate,0.45331812649965286,0.44204048812389374
Fredformer,96,ETTh1,Soft-DTW,0.37580737471580505,0.3976632356643677
Fredformer,192,ETTh1,Soft-DTW,0.43946075439453125,0.4350711703300476
Fredformer,336,ETTh1,Soft-DTW,0.48439404368400574,0.45468446612358093
Fredformer,720,ETTh1,Soft-DTW,0.5416573882102966,0.5102411508560181
Fredformer,Avg,ETTh1,Soft-DTW,0.46032989025115967,0.44941500574350357
Fredformer,96,ETTh1,DTW,0.37769073247909546,0.39851173758506775
Fredformer,192,ETTh1,DTW,0.43764105439186096,0.4333084225654602
Fredformer,336,ETTh1,DTW,0.4860396087169647,0.45465537905693054
Fredformer,720,ETTh1,DTW,0.5380672216415405,0.5099091529846191
Fredformer,Avg,ETTh1,DTW,0.4598596543073654,0.4490961730480194
Fredformer,96,ECL,DF,0.1610181480646133,0.2575914561748504
Fredformer,192,ECL,DF,0.1735854893922805,0.2694698274135589
Fredformer,336,ECL,DF,0.1941081583499908,0.2903970777988434
Fredformer,720,ECL,DF,0.2346724569797516,0.3193843066692352
Fredformer,Avg,ECL,DF,0.19084606319665903,0.28421066701412195
Fredformer,96,ECL,PDF,0.1511508077383041,0.2447965443134308
Fredformer,192,ECL,PDF,0.165649265050888,0.2563000917434692
Fredformer,336,ECL,PDF,0.1810963749885559,0.2742898166179657
Fredformer,720,ECL,PDF,0.2131546735763549,0.3040794432163238
Fredformer,Avg,ECL,PDF,0.17776278033852572,0.2698664739727974
Fredformer,96,ECL,FreDF,0.152476504445076,0.24714890122413635
Fredformer,192,ECL,FreDF,0.1662038117647171,0.25718382000923157
Fredformer,336,ECL,FreDF,0.18287095427513123,0.277835488319397
Fredformer,720,ECL,FreDF,0.21638022363185883,0.30436116456985474
Fredformer,Avg,ECL,FreDF,0.17948287352919579,0.2716323435306549
Fredformer,96,ECL,Fourier Koopman,0.1655011922121048,0.26315730810165405
Fredformer,192,ECL,Fourier Koopman,0.17370064556598663,0.26687905192375183
Fredformer,336,ECL,Fourier Koopman,0.18750976026058197,0.28045448660850525
Fredformer,720,ECL,Fourier Koopman,0.23175939917564392,0.3178021311759949
Fredformer,Avg,ECL,Fourier Koopman,0.18961774930357933,0.2820732444524765
Fredformer,96,ECL,Dilate,0.15822133421897888,0.2534371614456177
Fredformer,192,ECL,Dilate,0.17028088867664337,0.2633451223373413
Fredformer,336,ECL,Dilate,0.19035138189792633,0.28552091121673584
Fredformer,720,ECL,Dilate,0.22918565571308136,0.316375732421875
Fredformer,Avg,ECL,Dilate,0.18700981512665749,0.27966973185539246
Fredformer,96,ECL,Soft-DTW,0.1679222285747528,0.2658578157424927
Fredformer,192,ECL,Soft-DTW,0.21824198961257935,0.31265369057655334
Fredformer,336,ECL,Soft-DTW,0.1972021907567978,0.2909102737903595
Fredformer,720,ECL,Soft-DTW,0.2398003488779068,0.32163041830062866
Fredformer,Avg,ECL,Soft-DTW,0.20579168945550919,0.29776304960250854
Fredformer,96,ECL,DTW,0.15764255821704865,0.25282612442970276
Fredformer,192,ECL,DTW,0.21550889313220978,0.30728694796562195
Fredformer,336,ECL,DTW,0.19889439642429352,0.29475662112236023
Fredformer,720,ECL,DTW,0.23498667776584625,0.3221052289009094
Fredformer,Avg,ECL,DTW,0.20175813138484955,0.2942437306046486
Fredformer,96,Weather,DF,0.1801917850971222,0.2197628319263458
Fredformer,192,Weather,DF,0.2223790735006332,0.2576284408569336
Fredformer,336,Weather,DF,0.2834919393062591,0.3009756207466125
Fredformer,720,Weather,DF,0.3576559126377105,0.3484996855258941
Fredformer,Avg,Weather,DF,0.26092967763543123,0.28171664476394653
Fredformer,96,Weather,PDF,0.1712098568677902,0.2082905322313308
Fredformer,192,Weather,PDF,0.2194599211215973,0.2528133392333984
Fredformer,336,Weather,PDF,0.2767519950866699,0.2953278720378876
Fredformer,720,Weather,PDF,0.3532553315162658,0.3463561832904815
Fredformer,Avg,Weather,PDF,0.2551692761480808,0.27569698169827456
